,X,Y,Z,          U-U1,          U-U2,          U-U3,S11,S22,S12
28967,-10.0,-45.0,0.00433162,  -480.450E-03,   64.3694E-03,       5.76139,-0.040463,-0.0110861,0.00020716
28970,-11.0,-45.0,0.00423844,  -472.827E-03,   64.3700E-03,       5.63840,-0.0385082,-0.0104324,0.000214238
28971,-12.0,-45.0,0.00413793,  -463.959E-03,   64.3701E-03,       5.50576,-0.0363937,-0.00973133,0.000214526
28976,-13.0,-45.0,0.00403048,  -453.827E-03,   64.3695E-03,       5.36401,-0.0341294,-0.00898909,0.000207118
28977,-14.0,-45.0,0.00391653,  -442.434E-03,   64.3682E-03,       5.21372,-0.0317266,-0.00821297,0.000191539
28982,-15.0,-45.0,0.00379654,  -429.802E-03,   64.3660E-03,       5.05550,-0.0291983,-0.00741131,0.000167872
28985,-16.0,-45.0,0.00367099,  -415.970E-03,   64.3631E-03,       4.88997,-0.026559,-0.00659327,0.000136867
28986,-17.0,-45.0,0.00354037,  -401.000E-03,   64.3595E-03,       4.71780,-0.0238241,-0.0057684,9.99757e-05
28991,-18.0,-45.0,0.00340521,  -384.969E-03,   64.3554E-03,       4.53966,-0.0210097,-0.00494612,5.93165e-05
28992,-19.0,-45.0,0.00326607,  -367.972E-03,   64.3510E-03,       4.35627,-0.0181319,-0.0041351,1.75549e-05
28997,-20.0,-45.0,0.00312348,  -350.117E-03,   64.3465E-03,       4.16834,-0.0152066,-0.00334264,-2.23009e-05
29000,-21.0,-45.0,0.00297803,  -331.527E-03,   64.3423E-03,       3.97661,-0.012249,-0.00257407,-5.71723e-05
29001,-22.0,-45.0,0.00283029,  -312.335E-03,   64.3386E-03,       3.78182,-0.00927304,-0.00183234,-8.4228e-05
29006,-23.0,-45.0,0.00268086,  -292.684E-03,   64.3357E-03,       3.58474,-0.0062913,-0.00111771,-0.000101198
29007,-24.0,-45.0,0.00253034,  -272.722E-03,   64.3339E-03,       3.38612,-0.00331489,-0.000427829,-0.000106658
29012,-25.0,-45.0,0.00237933,  -252.605E-03,   64.3333E-03,       3.18672,-0.000353348,0.000242077,-0.000100214
29015,-26.0,-45.0,0.00222843,  -232.487E-03,   64.3338E-03,       2.98733,0.00258527,0.000898652,-8.2597e-05
29016,-27.0,-45.0,0.00207825,  -212.526E-03,   64.3356E-03,       2.78871,0.00549421,0.00154972,-5.55806e-05
29021,-28.0,-45.0,0.00192939,  -192.876E-03,   64.3385E-03,       2.59162,0.00836768,0.00220337,-2.18417e-05
29022,-29.0,-45.0,0.00178244,  -173.684E-03,   64.3422E-03,       2.39684,0.0112005,0.00286711,1.53863e-05
29027,-30.0,-45.0,0.00163799,  -155.095E-03,   64.3465E-03,       2.20511,0.0139875,0.00354685,5.25739e-05
29030,-31.0,-45.0,0.00149662,  -137.241E-03,   64.3512E-03,       2.01719,0.0167234,0.00424633,8.63786e-05
29031,-32.0,-45.0,0.00135889,  -120.245E-03,   64.3560E-03,       1.83380,0.0194016,0.00496638,0.00011381
29036,-33.0,-45.0,0.00122534,  -104.216E-03,   64.3606E-03,       1.65567,0.022015,0.00570487,0.000132716
29037,-34.0,-45.0,0.00109651,  -89.2471E-03,   64.3648E-03,       1.48351,0.0245549,0.0064565,0.000141678
29042,-35.0,-45.0,0.000972898,  -75.4177E-03,   64.3685E-03,       1.31799,0.0270113,0.00721337,0.000140461
29045,-36.0,-45.0,0.000854992,  -62.7874E-03,   64.3716E-03,       1.15978,0.0293734,0.00796537,0.000129625
29046,-37.0,-45.0,0.00074325,  -51.3976E-03,   64.3740E-03,       1.00951,0.0316296,0.00870118,0.000110947
29051,-38.0,-45.0,0.000638103,  -41.2699E-03,   64.3757E-03,   867.782E-03,0.0337683,0.00940929,8.69437e-05
29052,-39.0,-45.0,0.000539951,  -32.4058E-03,   64.3767E-03,   735.171E-03,0.0357779,0.0100793,6.10269e-05
29057,-40.0,-45.0,0.00044916,  -24.7866E-03,   64.3769E-03,   612.209E-03,0.0376483,0.0107039,3.73707e-05
