ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9106,       6.14547,       5.75274,            0.,NA,NA,"",   104.478E-03,  -38.8771E-03,       1.13482,  -67.5486E-03,   16.3790E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9107,       4.20792,       6.15774,            0.,NA,NA,"",   69.1152E-03,  -59.4460E-03,       1.14645,  -18.4187E-03,   77.4167E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9108,       5.44211,       4.98602,            0.,NA,NA,"",   99.1917E-03,  -40.7873E-03,       1.20281,  -92.9726E-03,   18.2118E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9109,       6.05814,       6.19018,            0.,NA,NA,"",   99.3343E-03,  -42.1956E-03,       1.11372,  -54.0283E-03,   31.7699E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9110,       5.97503,       4.74384,            0.,NA,NA,"",   110.884E-03,  -34.1513E-03,       1.19085,  -108.383E-03,  -17.3179E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9111,       3.99293,       5.33401,            0.,NA,NA,"",   70.7804E-03,  -57.0274E-03,       1.21690,  -19.7938E-03,   70.5839E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9112,       6.31897,       4.60667,            0.,NA,NA,"",   118.286E-03,  -30.1401E-03,       1.17791,  -109.661E-03,  -40.2792E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9113,       5.35722,       6.34902,            0.,NA,NA,"",   86.6887E-03,  -49.7167E-03,       1.11849,  -44.6591E-03,   54.9532E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9114,       5.87642,       6.36212,            0.,NA,NA,"",   95.0011E-03,  -44.8637E-03,       1.10825,  -48.9382E-03,   40.7830E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9115,       4.20353,       5.10868,            0.,NA,NA,"",   76.1142E-03,  -53.7293E-03,       1.23093,  -35.4851E-03,   63.0610E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9116,       3.91453,       5.52100,            0.,NA,NA,"",   68.1695E-03,  -58.7772E-03,       1.20237,  -13.3246E-03,   74.2599E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9117,       5.14615,       5.15282,            0.,NA,NA,"",   92.5114E-03,  -44.7329E-03,       1.20271,  -78.3621E-03,   35.7720E-03
